"trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","PID","START_TIME","EXP_AB","ATTENTION_FAILURES","trial","responses","view_history","actor","target_emotion"
"html-keyboard-response","31","348068","0.0-8.0-1.5","","","","","","","","","","","",""
"image-keyboard-response","32","348578","0.0-8.0-2.5","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","33","352391","0.0-8.0-3.5","3811.600000023842","","guilty","","","","","tom-labels","","","F6","guilty"
"html-keyboard-response","34","353406","0.0-8.0-0.6","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","35","357796","0.0-8.0-1.6","","","","","","","","","","","",""
"image-keyboard-response","36","358309","0.0-8.0-2.6","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","37","361279","0.0-8.0-3.6","2968.399999976158","","pensive","","","","","tom-labels","","","F3","pensive"
"html-keyboard-response","38","362283","0.0-8.0-0.7","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","39","367118","0.0-8.0-1.7","","","","","","","","","","","",""
"image-keyboard-response","40","367627","0.0-8.0-2.7","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","41","371671","0.0-8.0-3.7","4042.899999976158","","comforting","","","","","tom-labels","","","F6","comforting"
"html-keyboard-response","42","372675","0.0-8.0-0.8","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","43","377178","0.0-8.0-1.8","","","","","","","","","","","",""
"image-keyboard-response","44","377696","0.0-8.0-2.8","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","45","380990","0.0-8.0-3.8","3293.600000023842","","dominant","","","","","tom-labels","","","F4","dominant"
"html-keyboard-response","46","381998","0.0-8.0-0.9","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","47","386608","0.0-8.0-1.9","","","","","","","","","","","",""
"image-keyboard-response","48","387124","0.0-8.0-2.9","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","49","418287","0.0-8.0-3.9","31161.200000047684","","imploring","","","","","tom-labels","","","F6","terrified"
"html-keyboard-response","50","419301","0.0-8.0-0.10","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","51","424035","0.0-8.0-1.10","","","","","","","","","","","",""
"image-keyboard-response","52","424544","0.0-8.0-2.10","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","53","429422","0.0-8.0-3.10","4877.700000047684","","aghast","","","","","tom-labels","","","F7","aghast"
"html-keyboard-response","54","430425","0.0-8.0-0.11","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","55","434878","0.0-8.0-1.11","","","","","","","","","","","",""
"image-keyboard-response","56","435382","0.0-8.0-2.11","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","57","439270","0.0-8.0-3.11","3887.5","","interested","","","","","tom-labels","","","M5","interested"
"html-keyboard-response","58","440276","0.0-8.0-0.12","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","59","444876","0.0-8.0-1.12","","","","","","","","","","","",""
"image-keyboard-response","60","445391","0.0-8.0-2.12","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","61","449815","0.0-8.0-3.12","4423.299999952316","","incredulous","","","","","tom-labels","","","M1","incredulous"
"html-keyboard-response","62","450831","0.0-8.0-0.13","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","63","455111","0.0-8.0-1.13","","","","","","","","","","","",""
"image-keyboard-response","64","455616","0.0-8.0-2.13","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","65","458816","0.0-8.0-3.13","3198.100000023842","","doubtful","","","","","tom-labels","","","F3","preoccupied"
"html-keyboard-response","66","459824","0.0-8.0-0.14","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","67","464160","0.0-8.0-1.14","","","","","","","","","","","",""
"image-keyboard-response","68","464668","0.0-8.0-2.14","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","69","467769","0.0-8.0-3.14","3099.6999999284744","","depressed","","","","","tom-labels","","","F3","depressed"
"html-keyboard-response","70","468783","0.0-8.0-0.15","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","71","473158","0.0-8.0-1.15","","","","","","","","","","","",""
"image-keyboard-response","72","473669","0.0-8.0-2.15","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","73","476527","0.0-8.0-3.15","2857.5","","dominant","","","","","tom-labels","","","M1","dominant"
"html-keyboard-response","74","477533","0.0-8.0-0.16","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","75","482299","0.0-8.0-1.16","","","","","","","","","","","",""
"image-keyboard-response","76","482813","0.0-8.0-2.16","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","77","484815","0.0-8.0-3.16","2001.5","","skeptical","","","","","tom-labels","","","M4","skeptical"
"html-keyboard-response","78","485825","0.0-8.0-0.17","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","79","490328","0.0-8.0-1.17","","","","","","","","","","","",""
"image-keyboard-response","80","490843","0.0-8.0-2.17","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","81","494991","0.0-8.0-3.17","4146.299999952316","","convinced","","","","","tom-labels","","","M6","convinced"
"html-keyboard-response","82","495999","0.0-8.0-0.18","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","83","500466","0.0-8.0-1.18","","","","","","","","","","","",""
"image-keyboard-response","84","500970","0.0-8.0-2.18","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","85","505023","0.0-8.0-3.18","4051","","earnest","","","","","tom-labels","","","M5","earnest"
"html-keyboard-response","86","506033","0.0-8.0-0.19","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","87","510748","0.0-8.0-1.19","","","","","","","","","","","",""
"image-keyboard-response","88","511262","0.0-8.0-2.19","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","89","516479","0.0-8.0-3.19","5215.200000047684","","insulting","","","","","tom-labels","","","M2","insulting"
"html-keyboard-response","90","517491","0.0-8.0-0.20","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","91","522595","0.0-8.0-1.20","","","","","","","","","","","",""
"image-keyboard-response","92","523106","0.0-8.0-2.20","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","93","528823","0.0-8.0-3.20","5716","","skeptical","","","","","tom-labels","","","M2","entertained"
"html-keyboard-response","94","529837","0.0-8.0-0.21","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","95","534195","0.0-8.0-1.21","","","","","","","","","","","",""
"image-keyboard-response","96","534710","0.0-8.0-2.21","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","97","537679","0.0-8.0-3.21","2967.100000023842","","annoyed","","","","","tom-labels","","","M3","hateful"
"html-keyboard-response","98","538686","0.0-8.0-0.22","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","99","543062","0.0-8.0-1.22","","","","","","","","","","","",""
"image-keyboard-response","100","543578","0.0-8.0-2.22","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","101","548046","0.0-8.0-3.22","4466.799999952316","","contented","","","","","tom-labels","","","F3","entertained"
"html-keyboard-response","102","549059","0.0-8.0-0.23","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","103","553820","0.0-8.0-1.23","","","","","","","","","","","",""
"image-keyboard-response","104","554333","0.0-8.0-2.23","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","105","557607","0.0-8.0-3.23","3272.7000000476837","","deciding","","","","","tom-labels","","","F6","deciding"
"html-keyboard-response","106","558620","0.0-8.0-0.24","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","107","563304","0.0-8.0-1.24","","","","","","","","","","","",""
"image-keyboard-response","108","563812","0.0-8.0-2.24","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","109","567807","0.0-8.0-3.24","3993.4000000953674","","deciding","","","","","tom-labels","","","M6","perplexed"
"html-keyboard-response","110","568809","0.0-8.0-0.25","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","111","573313","0.0-8.0-1.25","","","","","","","","","","","",""
"image-keyboard-response","112","573817","0.0-8.0-2.25","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","113","576711","0.0-8.0-3.25","2892.899999976158","","despondent","","","","","tom-labels","","","M5","embarrassed"
"html-keyboard-response","114","577713","0.0-8.0-0.26","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","115","582335","0.0-8.0-1.26","","","","","","","","","","","",""
"image-keyboard-response","116","582844","0.0-8.0-2.26","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","117","585479","0.0-8.0-3.26","2634.399999976158","","nervous","","","","","tom-labels","","","M5","eager"
"html-keyboard-response","118","586492","0.0-8.0-0.27","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","119","591191","0.0-8.0-1.27","","","","","","","","","","","",""
"image-keyboard-response","120","591697","0.0-8.0-2.27","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","121","595647","0.0-8.0-3.27","3948.7999999523163","","sympathetic","","","","","tom-labels","","","F6","sympathetic"
"html-keyboard-response","122","596656","0.0-8.0-0.28","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","123","601150","0.0-8.0-1.28","","","","","","","","","","","",""
"image-keyboard-response","124","601664","0.0-8.0-2.28","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","125","604791","0.0-8.0-3.28","3125.6999999284744","","convinced","","","","","tom-labels","","","M3","grateful"
"html-keyboard-response","126","605800","0.0-8.0-0.29","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","127","610113","0.0-8.0-1.29","","","","","","","","","","","",""
"image-keyboard-response","128","610627","0.0-8.0-2.29","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","129","613423","0.0-8.0-3.29","2795.5","","amused","","","","","tom-labels","","","M1","amused"
"html-keyboard-response","130","614427","0.0-8.0-0.30","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","131","619226","0.0-8.0-1.30","","","","","","","","","","","",""
"image-keyboard-response","132","619735","0.0-8.0-2.30","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","133","622352","0.0-8.0-3.30","2615","","impatient","","","","","tom-labels","","","F5","disappointed"
"html-keyboard-response","134","623362","0.0-8.0-0.31","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","135","627726","0.0-8.0-1.31","","","","","","","","","","","",""
"image-keyboard-response","136","628243","0.0-8.0-2.31","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","137","630319","0.0-8.0-3.31","2074.399999976158","","dubious","","","","","tom-labels","","","M3","dubious"
"html-keyboard-response","138","631335","0.0-8.0-0.32","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","139","636119","0.0-8.0-1.32","","","","","","","","","","","",""
"image-keyboard-response","140","636633","0.0-8.0-2.32","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","141","638968","0.0-8.0-3.32","2333.600000023842","","stern","","","","","tom-labels","","","M2","stern"
"html-keyboard-response","142","639984","0.0-8.0-0.33","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","143","644516","0.0-8.0-1.33","","","","","","","","","","","",""
"image-keyboard-response","144","645029","0.0-8.0-2.33","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","145","651031","0.0-8.0-3.33","6000.300000071526","","preoccupied","","","","","tom-labels","","","F4","flustered"
"html-keyboard-response","146","652035","0.0-8.0-0.34","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","147","656779","0.0-8.0-1.34","","","","","","","","","","","",""
"image-keyboard-response","148","657294","0.0-8.0-2.34","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","149","664127","0.0-8.0-3.34","6831.299999952316","","intrigued","","","","","tom-labels","","","M4","intrigued"
"html-keyboard-response","150","665143","0.0-8.0-0.35","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","151","669778","0.0-8.0-1.35","","","","","","","","","","","",""
"image-keyboard-response","152","670288","0.0-8.0-2.35","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","153","673695","0.0-8.0-3.35","3405.600000023842","","baffled","","","","","tom-labels","","","M4","baffled"
"html-keyboard-response","154","674700","0.0-8.0-0.36","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","155","679228","0.0-8.0-1.36","","","","","","","","","","","",""
"image-keyboard-response","156","679733","0.0-8.0-2.36","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","157","683703","0.0-8.0-3.36","3967.2000000476837","","indifferent","","","","","tom-labels","","","F5","resentful"
"html-keyboard-response","158","684716","0.0-8.0-0.37","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","159","689211","0.0-8.0-1.37","","","","","","","","","","","",""
"image-keyboard-response","160","689714","0.0-8.0-2.37","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","161","693319","0.0-8.0-3.37","3603.2999999523163","","panicked","","","","","tom-labels","","","M4","panicked"
"html-keyboard-response","162","694321","0.0-8.0-0.38","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","163","698631","0.0-8.0-1.38","","","","","","","","","","","",""
"image-keyboard-response","164","699137","0.0-8.0-2.38","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","165","702471","0.0-8.0-3.38","3332.7999999523163","","skeptical","","","","","tom-labels","","","F3","distrustful"
"html-keyboard-response","166","703479","0.0-8.0-0.39","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","167","708926","0.0-8.0-1.39","","","","","","","","","","","",""
"image-keyboard-response","168","709442","0.0-8.0-2.39","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","169","713215","0.0-8.0-3.39","3771.5","","satisfied","","","","","tom-labels","","","M6","satisfied"
"html-keyboard-response","170","714226","0.0-9.0-0.0","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","171","720340","0.0-9.0-1.0","","","","","","","","","","","",""
"image-keyboard-response","172","720851","0.0-9.0-2.0","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","173","728687","0.0-9.0-3.0","7834.100000023842","","click","","","","","attention-check","","","F6","guilty"
"html-keyboard-response","174","729690","0.0-11.0-0.0","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","175","734535","0.0-11.0-1.0","","","","","","","","","","","",""
"image-keyboard-response","176","735046","0.0-11.0-2.0","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","177","739935","0.0-11.0-3.0","4887.600000023842","","pensive","","","","","tom-labels","","","M4","concerned"
"html-keyboard-response","178","740946","0.0-11.0-0.1","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","179","745515","0.0-11.0-1.1","","","","","","","","","","","",""
"image-keyboard-response","180","746034","0.0-11.0-2.1","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","181","749591","0.0-11.0-3.1","3556.1999999284744","","uneasy","","","","","tom-labels","","","F7","uneasy"
"html-keyboard-response","182","750599","0.0-11.0-0.2","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","183","755332","0.0-11.0-1.2","","","","","","","","","","","",""
"image-keyboard-response","184","755846","0.0-11.0-2.2","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","185","759407","0.0-11.0-3.2","3559.8000000715256","","desire","","","","","tom-labels","","","M2","desire"
"html-keyboard-response","186","760415","0.0-11.0-0.3","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","187","764813","0.0-11.0-1.3","","","","","","","","","","","",""
"image-keyboard-response","188","765318","0.0-11.0-2.3","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","189","770423","0.0-11.0-3.3","5103.700000047684","","contented","","","","","tom-labels","","","F5","eager"
"html-keyboard-response","190","771431","0.0-11.0-0.4","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","191","775973","0.0-11.0-1.4","","","","","","","","","","","",""
"image-keyboard-response","192","776482","0.0-11.0-2.4","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","193","779263","0.0-11.0-3.4","2779.399999976158","","impatient","","","","","tom-labels","","","F4","impatient"
"html-keyboard-response","194","780277","0.0-11.0-0.5","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","195","785140","0.0-11.0-1.5","","","","","","","","","","","",""
"image-keyboard-response","196","785648","0.0-11.0-2.5","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","197","788304","0.0-11.0-3.5","2654.6999999284744","","serious","","","","","tom-labels","","","M6","serious"
"html-keyboard-response","198","789313","0.0-11.0-0.6","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","199","793824","0.0-11.0-1.6","","","","","","","","","","","",""
"image-keyboard-response","200","794332","0.0-11.0-2.6","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","201","799696","0.0-11.0-3.6","5362","","skeptical","","","","","tom-labels","","","M4","tentative"
"html-keyboard-response","202","800703","0.0-11.0-0.7","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","203","805273","0.0-11.0-1.7","","","","","","","","","","","",""
"image-keyboard-response","204","805780","0.0-11.0-2.7","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","205","810992","0.0-11.0-3.7","5209.5","","entertained","","","","","tom-labels","","","M4","affectionate"
"html-keyboard-response","206","812000","0.0-11.0-0.8","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","207","816463","0.0-11.0-1.8","","","","","","","","","","","",""
"image-keyboard-response","208","816979","0.0-11.0-2.8","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","209","819991","0.0-11.0-3.8","3010.7000000476837","","baffled","","","","","tom-labels","","","F2","baffled"
"html-keyboard-response","210","820993","0.0-11.0-0.9","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","211","825516","0.0-11.0-1.9","","","","","","","","","","","",""
"image-keyboard-response","212","826023","0.0-11.0-2.9","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","213","827927","0.0-11.0-3.9","1901.3000000715256","","curious","","","","","tom-labels","","","F5","worried"
"html-keyboard-response","214","828937","0.0-11.0-0.10","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","215","833463","0.0-11.0-1.10","","","","","","","","","","","",""
"image-keyboard-response","216","833967","0.0-11.0-2.10","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","217","836569","0.0-11.0-3.10","2598.5","","arrogant","","","","","tom-labels","","","F4","arrogant"
"html-keyboard-response","218","837571","0.0-11.0-0.11","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","219","842125","0.0-11.0-1.11","","","","","","","","","","","",""
"image-keyboard-response","220","842637","0.0-11.0-2.11","null","stimuli/noise_texture.png","null","","","","","","","","",""
"custom-labels-response","221","846848","0.0-11.0-3.11","4208.799999952316","","insulting","","","","","tom-labels","","","F7","insulting"
"html-keyboard-response","222","847857","0.0-11.0-0.12","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","223","852148","0.0-11.0-1.12","","","","","","","","","","","",""
"image-keyboard-response","224","852667","0.0-11.0-2.12","null","stimuli/noise_texture.png","null","","","","","","","","",""
