"trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","PID","START_TIME","EXP_AB","ATTENTION_FAILURES","trial","responses","view_history","x","y","actor","target_emotion"
"html-keyboard-response","10","410000","0.0-8.0-0.0","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","11","416269","0.0-8.0-1.0","","","","","","","","","","","","","",""
"image-keyboard-response","12","416785","0.0-8.0-2.0","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","13","427673","0.0-8.0-3.0","9471","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-1","-79","F4","stern"
"html-keyboard-response","14","428680","0.0-8.0-0.1","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","15","434075","0.0-8.0-1.1","","","","","","","","","","","","","",""
"image-keyboard-response","16","434585","0.0-8.0-2.1","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","17","441561","0.0-8.0-3.1","6122","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","0","-81","M3","assertive"
"html-keyboard-response","18","442684","0.0-8.0-0.2","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","19","448172","0.0-8.0-1.2","","","","","","","","","","","","","",""
"image-keyboard-response","20","448680","0.0-8.0-2.2","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","21","453130","0.0-8.0-3.2","3687","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","72","-73","M4","fantasizing"
"html-keyboard-response","22","454221","0.0-8.0-0.3","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","23","460415","0.0-8.0-1.3","","","","","","","","","","","","","",""
"image-keyboard-response","24","460921","0.0-8.0-2.3","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","25","574103","0.0-8.0-3.3","4859","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-96","-25","M1","dominant"
"html-keyboard-response","26","575116","0.0-8.0-0.4","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","27","580975","0.0-8.0-1.4","","","","","","","","","","","","","",""
"image-keyboard-response","28","581501","0.0-8.0-2.4","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","29","587993","0.0-8.0-3.4","5803","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-126","24","F7","concerned"
"html-keyboard-response","30","589004","0.0-8.0-0.5","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","31","596009","0.0-8.0-1.5","","","","","","","","","","","","","",""
"image-keyboard-response","32","596521","0.0-8.0-2.5","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","33","602929","0.0-8.0-3.5","5913","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-3","36","M6","perplexed"
"html-keyboard-response","34","603940","0.0-8.0-0.6","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","35","609433","0.0-8.0-1.6","","","","","","","","","","","","","",""
"image-keyboard-response","36","609939","0.0-8.0-2.6","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","37","631283","0.0-8.0-3.6","20798","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","69","-24","M5","friendly"
"html-keyboard-response","38","632293","0.0-8.0-0.7","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","39","646602","0.0-8.0-1.7","","","","","","","","","","","","","",""
"image-keyboard-response","40","647123","0.0-8.0-2.7","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","41","651850","0.0-8.0-3.7","4283","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","0","-1","F6","accusing"
"html-keyboard-response","42","652856","0.0-8.0-0.8","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","43","659613","0.0-8.0-1.8","","","","","","","","","","","","","",""
"image-keyboard-response","44","660118","0.0-8.0-2.8","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","45","668915","0.0-8.0-3.8","8457","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-63","-2","M1","pensive"
"html-keyboard-response","46","669925","0.0-8.0-0.9","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","47","677046","0.0-8.0-1.9","","","","","","","","","","","","","",""
"image-keyboard-response","48","677556","0.0-8.0-2.9","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","49","680040","0.0-8.0-3.9","2123","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-89","87","M4","panicked"
"html-keyboard-response","50","681098","0.0-8.0-0.10","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","51","687432","0.0-8.0-1.10","","","","","","","","","","","","","",""
"image-keyboard-response","52","687941","0.0-8.0-2.10","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","53","691247","0.0-8.0-3.10","2896","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-93","53","M6","puzzled"
"html-keyboard-response","54","692249","0.0-8.0-0.11","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","55","699111","0.0-8.0-1.11","","","","","","","","","","","","","",""
"image-keyboard-response","56","699619","0.0-8.0-2.11","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","57","711204","0.0-8.0-3.11","11390","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-52","1","M4","skeptical"
"html-keyboard-response","58","712214","0.0-8.0-0.12","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","59","719316","0.0-8.0-1.12","","","","","","","","","","","","","",""
"image-keyboard-response","60","719828","0.0-8.0-2.12","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","61","724189","0.0-8.0-3.12","4038","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","82","28","F3","entertained"
"html-keyboard-response","62","725200","0.0-8.0-0.13","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","63","731812","0.0-8.0-1.13","","","","","","","","","","","","","",""
"image-keyboard-response","64","732321","0.0-8.0-2.13","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","65","738251","0.0-8.0-3.13","5569","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-86","-20","F5","worried"
"html-keyboard-response","66","739256","0.0-8.0-0.14","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","67","746238","0.0-8.0-1.14","","","","","","","","","","","","","",""
"image-keyboard-response","68","746754","0.0-8.0-2.14","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","69","750039","0.0-8.0-3.14","3025","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-96","32","M4","flustered"
"html-keyboard-response","70","751051","0.0-8.0-0.15","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","71","757322","0.0-8.0-1.15","","","","","","","","","","","","","",""
"image-keyboard-response","72","757837","0.0-8.0-2.15","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","73","771455","0.0-8.0-3.15","11879","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-80","78","M3","imploring"
"html-keyboard-response","74","772466","0.0-8.0-0.16","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","75","779986","0.0-8.0-1.16","","","","","","","","","","","","","",""
"image-keyboard-response","76","780502","0.0-8.0-2.16","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","77","813822","0.0-8.0-3.16","33040","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","1","-1","F3","indecisive"
"html-keyboard-response","78","814840","0.0-8.0-0.17","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","79","821881","0.0-8.0-1.17","","","","","","","","","","","","","",""
"image-keyboard-response","80","822388","0.0-8.0-2.17","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","81","830524","0.0-8.0-3.17","7620","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-82","2","M2","stern"
"html-keyboard-response","82","831535","0.0-8.0-0.18","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","83","837091","0.0-8.0-1.18","","","","","","","","","","","","","",""
"image-keyboard-response","84","837604","0.0-8.0-2.18","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","85","839587","0.0-8.0-3.18","1239","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-81","-68","F8","confused"
"html-keyboard-response","86","840592","0.0-8.0-0.19","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","87","846897","0.0-8.0-1.19","","","","","","","","","","","","","",""
"image-keyboard-response","88","847410","0.0-8.0-2.19","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","89","854899","0.0-8.0-3.19","7436","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-73","-4","F5","encouraging"
"html-keyboard-response","90","855914","0.0-8.0-0.20","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","91","861637","0.0-8.0-1.20","","","","","","","","","","","","","",""
"image-keyboard-response","92","862150","0.0-8.0-2.20","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","93","864518","0.0-8.0-3.20","1755","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-3","17","F4","upset"
"html-keyboard-response","94","865527","0.0-8.0-0.21","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","95","872099","0.0-8.0-1.21","","","","","","","","","","","","","",""
"image-keyboard-response","96","872606","0.0-8.0-2.21","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","97","878070","0.0-8.0-3.21","4703","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-89","29","M5","hostile"
"html-keyboard-response","98","879079","0.0-8.0-0.22","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","99","885211","0.0-8.0-1.22","","","","","","","","","","","","","",""
"image-keyboard-response","100","885720","0.0-8.0-2.22","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","101","889635","0.0-8.0-3.22","3613","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","108","48","F2","curious"
"html-keyboard-response","102","890683","0.0-8.0-0.23","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","103","898457","0.0-8.0-1.23","","","","","","","","","","","","","",""
"image-keyboard-response","104","898970","0.0-8.0-2.23","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","105","902711","0.0-8.0-3.23","3144","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-45","-109","F7","apologetic"
"html-keyboard-response","106","903782","0.0-8.0-0.24","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","107","909251","0.0-8.0-1.24","","","","","","","","","","","","","",""
"image-keyboard-response","108","909757","0.0-8.0-2.24","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","109","912562","0.0-8.0-3.24","2487","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","135","62","F8","friendly"
"html-keyboard-response","110","913572","0.0-8.0-0.25","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","111","919297","0.0-8.0-1.25","","","","","","","","","","","","","",""
"image-keyboard-response","112","919815","0.0-8.0-2.25","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","113","922453","0.0-8.0-3.25","2390","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-11","-79","F8","cautious"
"html-keyboard-response","114","923457","0.0-8.0-0.26","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","115","930353","0.0-8.0-1.26","","","","","","","","","","","","","",""
"image-keyboard-response","116","930858","0.0-8.0-2.26","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","117","934335","0.0-8.0-3.26","3158","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-81","3","M3","accusing"
"html-keyboard-response","118","935397","0.0-8.0-0.27","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","119","941203","0.0-8.0-1.27","","","","","","","","","","","","","",""
"image-keyboard-response","120","941710","0.0-8.0-2.27","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","121","943825","0.0-8.0-3.27","1799","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-139","141","F5","panicked"
"html-keyboard-response","122","944831","0.0-8.0-0.28","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","123","950203","0.0-8.0-1.28","","","","","","","","","","","","","",""
"image-keyboard-response","124","950714","0.0-8.0-2.28","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","125","952372","0.0-8.0-3.28","1322","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","126","128","F2","playful"
"html-keyboard-response","126","953385","0.0-8.0-0.29","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","127","959905","0.0-8.0-1.29","","","","","","","","","","","","","",""
"image-keyboard-response","128","960416","0.0-8.0-2.29","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","129","962749","0.0-8.0-3.29","2025","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-83","71","M2","nervous"
"html-keyboard-response","130","963758","0.0-8.0-0.30","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","131","970454","0.0-8.0-1.30","","","","","","","","","","","","","",""
"image-keyboard-response","132","970981","0.0-8.0-2.30","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","133","978779","0.0-8.0-3.30","7509","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-85","-66","M4","worried"
"html-keyboard-response","134","979781","0.0-8.0-0.31","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","135","986330","0.0-8.0-1.31","","","","","","","","","","","","","",""
"image-keyboard-response","136","986851","0.0-8.0-2.31","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","137","988716","0.0-8.0-3.31","1706","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-44","-4","M6","annoyed"
"html-keyboard-response","138","989730","0.0-8.0-0.32","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","139","996459","0.0-8.0-1.32","","","","","","","","","","","","","",""
"image-keyboard-response","140","996969","0.0-8.0-2.32","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","141","1000406","0.0-8.0-3.32","3138","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-73","22","F6","guilty"
"html-keyboard-response","142","1001487","0.0-8.0-0.33","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","143","1008701","0.0-8.0-1.33","","","","","","","","","","","","","",""
"image-keyboard-response","144","1009218","0.0-8.0-2.33","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","145","1011750","0.0-8.0-3.33","2069","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","32","-45","F6","puzzled"
"html-keyboard-response","146","1012763","0.0-8.0-0.34","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","147","1019444","0.0-8.0-1.34","","","","","","","","","","","","","",""
"image-keyboard-response","148","1019956","0.0-8.0-2.34","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","149","1024314","0.0-8.0-3.34","4224","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-84","-52","M4","confused"
"html-keyboard-response","150","1025327","0.0-8.0-0.35","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","151","1031283","0.0-8.0-1.35","","","","","","","","","","","","","",""
"image-keyboard-response","152","1031796","0.0-8.0-2.35","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","153","1035117","0.0-8.0-3.35","3144","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-36","-7","F3","preoccupied"
"html-keyboard-response","154","1036121","0.0-8.0-0.36","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","155","1041773","0.0-8.0-1.36","","","","","","","","","","","","","",""
"image-keyboard-response","156","1042293","0.0-8.0-2.36","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","157","1043464","0.0-8.0-3.36","845","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-2","-64","F2","tentative"
"html-keyboard-response","158","1044468","0.0-8.0-0.37","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","159","1053590","0.0-8.0-1.37","","","","","","","","","","","","","",""
"image-keyboard-response","160","1054104","0.0-8.0-2.37","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","161","1190282","0.0-8.0-3.37","135676","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-3","-23","F6","reassuring"
"html-keyboard-response","162","1191290","0.0-8.0-0.38","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","163","1197646","0.0-8.0-1.38","","","","","","","","","","","","","",""
"image-keyboard-response","164","1198171","0.0-8.0-2.38","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","165","1200663","0.0-8.0-3.38","1796","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-86","-38","F5","thoughtful"
"html-keyboard-response","166","1201701","0.0-8.0-0.39","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","167","1207100","0.0-8.0-1.39","","","","","","","","","","","","","",""
"image-keyboard-response","168","1207649","0.0-8.0-2.39","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
"html-custom-grid-response","169","1209142","0.0-8.0-3.39","1151","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","tom-grid","","","-82","43","F2","hateful"
"html-keyboard-response","170","1210151","0.0-9.0-0.0","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","","","",""
"html-keyboard-response","171","1215422","0.0-9.0-1.0","","","","","","","","","","","","","",""
"image-keyboard-response","172","1215938","0.0-9.0-2.0","null","stimuli/noise_texture.png","null","","","","","","","","","","",""
